Service Name, Price
Rear Shock Absorber Replacement, 449.99
remove & replace front brake pads, 209.87
remove & replace rear brake pads, 209.87
Disk Brake Pad Set, 98.97
Disk Brake Rotor, 200.99
rear brake pads replacement, 219.99
12v battery replacement, 179.99
synthetic oil change, 74.99
wiper blades - front, 24.99
four wheel alignment, 129.99
Alternator Replacement, 514.99
Spark Plugs Replacement, 109.99
Starter Motor Replacement, 359.99
AC Compressor Replacement, 689.99
Clutch Assembly Replacement, 2999.99
Std Window Tint - 4D side and rear, 309.99
